lemon,0,109,0,0,1,7,18,26,19,33,1.736842105,12,7,2,1,3.174311927,2
lemon,1,102,0,3,1,8,22,25,23,36,1.565217391,7,6,2,1,3.774509804,2
lemon,2,105,0,0,2,8,18,24,20,32,1.6,11,6,2,1,3.257142857,1
lemon,3,102,0,0,7,15,17,21,24,36,1.5,15,5,2,1,5.156862745,4
lemon,4,153,0,0,2,6,26,26,28,32,1.142857143,14,10,3,1,2.437908497,2
lemon,5,118,0,0,6,12,16,27,22,39,1.772727273,15,10,2,1,3.898305085,4
lemon,6,102,0,0,4,12,18,23,22,35,1.590909091,10,5,2,1,4.117647059,7
lemon,7,93,0,0,8,14,16,19,24,33,1.375,10,6,2,1,4.709677419,10
lemon,8,128,0,0,2,8,18,32,20,40,2,21,6,2,1,3.2734375,8
lemon,9,112,0,0,1,9,16,23,17,32,1.882352941,11,7,2,1,1.839285714,0
lemon,10,132,0,1,10,11,19,26,29,38,1.310344828,10,10,2,1,4.984848485,8
lemon,11,87,0,1,4,7,16,20,20,28,1.4,8,6,2,1,2.689655172,3
lemon,12,102,0,1,7,7,19,25,26,33,1.269230769,9,6,2,1,4.333333333,2
lemon,13,96,0,0,3,4,18,24,21,28,1.333333333,8,5,2,1,2.4375,2
lemon,14,130,0,1,5,6,21,24,26,31,1.192307692,16,8,3,1,3.807692308,2
lemon,15,126,0,0,4,9,21,28,25,37,1.48,12,6,2,1,4.063492063,1
lemon,16,104,0,3,2,22,16,19,18,44,2.444444444,21,3,2,1,3.788461538,12
lemon,17,127,0,0,0,5,22,30,22,35,1.590909091,14,6,2,1,2.787401575,0
lemon,18,94,0,0,8,5,13,22,21,27,1.285714286,13,7,2,1,3.117021277,7
lemon,19,125,0,0,0,10,19,31,19,41,2.157894737,14,4,2,1,2.984,8
lemon,20,94,0,1,2,20,19,15,21,36,1.714285714,10,6,2,1,3.234042553,0
lemon,21,84,0,0,6,4,15,20,21,24,1.142857143,12,7,2,1,3.178571429,3
lemon,22,101,0,0,5,19,16,19,21,38,1.80952381,15,5,2,1,4.554455446,2
lemon,23,149,0,0,2,6,22,35,24,41,1.708333333,14,6,2,1,3.946308725,0
lemon,24,129,0,0,5,13,23,24,28,37,1.321428571,10,8,2,1,4.209302326,7
lemon,25,111,0,0,4,5,20,31,24,36,1.5,11,6,2,1,4.36036036,4
lemon,26,113,0,4,0,10,21,26,21,40,1.904761905,10,5,2,1,3.495575221,4
lemon,27,113,0,0,9,10,17,26,26,36,1.384615385,12,6,2,1,5.123893805,1
lemon,28,127,0,0,1,8,19,30,20,38,1.9,18,5,2,1,3.645669291,0
lemon,29,110,0,0,7,12,16,26,23,38,1.652173913,15,4,2,1,4.790909091,7
lemon,30,99,0,0,3,9,18,21,21,30,1.428571429,11,7,1,1,3.202020202,0
lemon,31,167,0,0,2,2,26,39,28,41,1.464285714,11,8,2,1,3.778443114,0
lemon,32,101,0,0,7,17,19,18,26,35,1.346153846,8,6,2,1,5.188118812,9
